net,length_um
s_axi_rdata[4],10.35
_108_,10.32
_143_,10.28
_119_,10
_136_,9.935
s_axi_rdata[30],9.88
_131_,9.7
_160_,9.7
_185_,9.68
_128_,9.66
s_axi_wdata[24],9.64
s_axi_wdata[29],9.64
s_axi_wdata[3],9.64
_098_,9.54
_155_,9.54
s_axi_wdata[17],9.53
_374_,9.52
_154_,9.48
_111_,9.42
_099_,9.3
s_axi_wdata[10],9.3
_036_,9.2
_172_,9.12
_338_,9.12
_130_,9.04
s_axi_rdata[29],8.96
u_fifo.wptr\[4\],8.94
_104_,8.88
rst_n,8.84
_353_,8.82
s_axi_araddr[4],8.72
s_axi_wdata[21],8.72
s_axi_wdata[2],8.72
s_axi_wdata[8],8.72
_156_,8.675
_385_,8.54
_097_,8.505
s_axi_rdata[18],8.5
_106_,8.44
_120_,8.44
_276_,8.4
_153_,8.32
_042_,8.28
_189_,8.26
_194_,8.24
_197_,8.12
net102,8.04
net101,8.04
_109_,7.98
_216_,7.98
_179_,7.94
_134_,7.92
_039_,7.68
_126_,7.66
_282_,7.62
irq,7.58
s_axi_rdata[12],7.58
s_axi_rdata[26],7.58
s_axi_rdata[31],7.58
_081_,7.54
_135_,7.54
_278_,7.52
_183_,7.48
_376_,7.36
_074_,7.26
_253_,7.1
_201_,6.92
_031_,6.84
_308_,6.82
axi_clk,6.77
_151_,6.76
_141_,6.74
_187_,6.66
_382_,6.64
_127_,6.6
_144_,6.6
_332_,6.6
_295_,6.58
_328_,6.58
_101_,6.52
_349_,6.52
u_dma.fifo_rd,6.5
_025_,6.48
s_axi_wdata[9],6.31
_249_,6.3
_290_,6.3
_298_,6.3
_114_,6.26
_261_,6.14
_306_,6.14
s_axi_wdata[11],5.97
s_axi_wdata[12],5.97
_038_,5.96
_035_,5.92
_107_,5.86
_068_,5.84
_220_,5.84
_072_,5.8
_170_,5.8
_171_,5.8
_259_,5.8
_364_,5.8
s_axi_rvalid,5.75
_087_,5.72
net72,5.72
_005_,5.7
_272_,5.68
_311_,5.68
s_axi_rdata[8],5.63
s_axi_wdata[22],5.63
_149_,5.62
_152_,5.62
_357_,5.54
_360_,5.48
_011_,5.46
_195_,5.44
_284_,5.44
_344_,5.4
_010_,5.38
_150_,5.38
_175_,5.34
s_axi_wdata[27],5.29
s_axi_wdata[31],5.29
_105_,5.26
_246_,5.22
_341_,5.22
s_axi_rdata[15],5.07
s_axi_rdata[16],5.07
s_axi_rdata[19],5.07
s_axi_rdata[20],5.07
s_axi_rdata[27],5.07
_342_,5
s_axi_rdata[3],4.95
_213_,4.92
_225_,4.92
_348_,4.88
_289_,4.82
_222_,4.8
_275_,4.8
_173_,4.76
_264_,4.76
net61,4.76
net68,4.76
net74,4.76
s_axi_araddr[5],4.73
s_axi_awaddr[5],4.73
s_axi_wdata[0],4.73
s_axi_wdata[26],4.73
net103,4.61
s_axi_awvalid,4.61
s_axi_wdata[14],4.61
s_axi_wdata[30],4.61
_050_,4.58
_032_,4.48
_302_,4.48
_053_,4.46
_059_,4.46
_095_,4.46
_202_,4.46
_287_,4.42
s_axi_rdata[1],4.39
s_axi_rdata[5],4.39
s_axi_rdata[6],4.39
s_axi_rdata[9],4.39
s_axi_wdata[1],4.39
_251_,4.34
_304_,4.34
net71,4.34
s_axi_wvalid,4.27
_122_,4.2
_065_,4.14
_125_,4.14
_067_,4.12
_124_,4.1
_314_,4.02
_023_,4
_049_,4
_063_,4
_181_,4
_241_,4
_270_,4
s_axi_rdata[23],3.93
s_axi_wdata[13],3.93
s_axi_wdata[28],3.93
_274_,3.9
_327_,3.9
_363_,3.9
_014_,3.88
_041_,3.88
_094_,3.88
_265_,3.88
_277_,3.88
_326_,3.755
_335_,3.68
_048_,3.66
_013_,3.54
_020_,3.54
_026_,3.54
_064_,3.54
_070_,3.54
_132_,3.54
_184_,3.54
_300_,3.52
_279_,3.44
_218_,3.42
_263_,3.42
_320_,3.3
_056_,3.225
_040_,3.22
_283_,3.22
_008_,3.2
_086_,3.2
_313_,3.2
_075_,3.1
_112_,3.1
_044_,3.08
_051_,3.08
_080_,3.08
_182_,3.08
_247_,3.08
_334_,3.08
_021_,2.98
_271_,2.98
_318_,2.98
_373_,2.98
_117_,2.96
_164_,2.96
_262_,2.96
_268_,2.96
_269_,2.96
_381_,2.96
_082_,2.76
_012_,2.74
_029_,2.74
